Title Description,Standard Hours,Maximum Salary Rate
ASSISTANT URBAN DESIGNER,35.0,83151.0
HOUSING CONSULTANT,35.0,51838.0
COMMUNITY PLANNING BOARD COORD,35.0,60643.0
"ASSOCIATE DIRECTOR, BOROUGH IM",35.0,46262.0
DIRECTOR BOROUGH IMPROVEMENT B,35.0,62584.0
CITY PLANNING TECHNICIAN,35.0,57984.0
CITY PLANNER,35.0,77410.0
CITY PLANNER,35.0,93197.0
CITY PLANNER,35.0,103952.0
CITY PLANNER,35.0,115201.0
ASSOCIATE URBAN DESIGNER,35.0,95270.0
ASSOCIATE URBAN DESIGNER,35.0,106222.0
ASSOCIATE URBAN DESIGNER,35.0,114764.0
PRINCIPAL PLANNING CONSULTANT,35.0,99490.0
PRINCIPAL PLANNING CONSULTANT,35.0,244820.0
PRINCIPAL PLANNING CONSULTANT,35.0,244820.0
PRINCIPAL PLANNING CONSULTANT,35.0,244820.0
PRINCIPAL PLANNING CONSULTANT,35.0,244820.0
"DIRECTOR, OFFICE OF DEVELOPMEN",35.0,244820.0
DEPUTY DIRECTOR-MIDTOWN ACTION,35.0,244820.0
ASST TO THE DIRECTOR OF NEIGHB,35.0,93029.0
AREA DIRECTOR OF NEIGHBORHOOD,35.0,244820.0
ASSISTANT HIGHWAY TRANSPORTATI,35.0,70457.0
HIGHWAY TRANSPORTATION SPECIAL,35.0,83151.0
HIGHWAY TRANSPORTATION SPECIAL,35.0,95270.0
HIGHWAY TRANSPORTATION SPECIAL,35.0,106222.0
MULTIPLE DWELLING SPECIALIST (,40.0,77868.0
MULTIPLE DWELLING SPECIALIST (,40.0,85603.0
MULTIPLE DWELLING SPECIALIST (,40.0,97205.0
PRINCIPAL MULTIPLE DWELLING SP,40.0,103657.0
ASSISTANT PLAN EXAMINER (BLDGS,35.0,86801.0
PLAN EXAMINER (BLDGS),35.0,99303.0
PROJECT MANAGER INTERN#,35.0,57539.0
PROJECT MANAGER,35.0,83151.0
ASSOCIATE PROJECT MANAGER,35.0,95270.0
ASSOCIATE PROJECT MANAGER,35.0,106222.0
ASSOCIATE PROJECT MANAGER,35.0,118610.0
PROJECT MANAGER (DBS),35.0,244820.0
HOUSING DEVELOPMENT SPECIALIST,35.0,49548.0
HOUSING DEVELOPMENT SPECIALIST,35.0,53993.0
HOUSING DEVELOPMENT SPECIALIST,35.0,84815.0
HOUSING DEVELOPMENT SPECIALIST,35.0,97173.0
ASSOCIATE HOUSING DEVELOPMENT,35.0,106222.0
HOUSING DEVELOPMENT SPECIALIST,35.0,79461.0
ASSOCIATE HOUSING DEVELOPMENT,35.0,97151.0
ASSISTANT LEGISLATIVE REPRESEN,35.0,244820.0
DEPUTY COUNSEL TO THE MAYOR,35.0,244820.0
COUNSEL TO THE MAYOR,35.0,244820.0
PARALEGAL AIDE,35.0,49621.0
PARALEGAL AIDE,35.0,58688.0
LEGAL COORDINATOR,35.0,64662.0
ASSISTANT ADVOCATE-PD,35.0,98200.0
ASSISTANT ADVOCATE-PD,35.0,113898.0
ASSISTANT ADVOCATE-PD,35.0,132123.0
ASSISTANT COUNSEL-PD,35.0,124371.0
*ATTORNEY AT LAW,35.0,96526.0
*ATTORNEY AT LAW,35.0,107032.0
*ATTORNEY AT LAW,35.0,117541.0
*ATTORNEY AT LAW,35.0,125681.0
AGENCY ATTORNEY INTERNE,35.0,75760.0
AGENCY ATTORNEY,35.0,96526.0
AGENCY ATTORNEY,35.0,107032.0
AGENCY ATTORNEY,35.0,117541.0
AGENCY ATTORNEY,35.0,125681.0
DEPUTY COUNSEL (HA),35.0,196574.0
*ASSISTANT ADVOCATE-PD,35.0,102418.0
*ASSISTANT ADVOCATE-PD,35.0,118790.0
*ASSISTANT ADVOCATE-PD,35.0,137797.0
*AGENCY ATTORNEY,35.0,89638.0
*AGENCY ATTORNEY,35.0,99394.0
*AGENCY ATTORNEY,35.0,109153.0
*AGENCY ATTORNEY,35.0,116712.0
COUNSEL (BOARD OF CORRECTION),35.0,244820.0
ASSOCIATE COUNSEL (OLR),35.0,244820.0
ASSISTANT COUNSEL (OLR),35.0,244820.0
COUNSEL (OLR),35.0,244820.0
STUDENT LEGAL ASSISTANT,35.0,44473.0
DEPUTY GENERAL COUNSEL (OMB),35.0,244820.0
GENERAL COUNSEL (OMB),35.0,244820.0
HEARING DIRECTOR (COMM OF HUMA,35.0,244820.0
ASSISTANT CORPORATION COUNSEL,35.0,244820.0
ASSISTANT CORPORATION COUNSEL,35.0,212614.0
ASSISTANT DISTRICT ATTORNEY (S,35.0,167610.0
EXAMINING ATTORNEY,35.0,110000.0
EXAMINING ATTORNEY (MANAGERIAL,35.0,244820.0
ASSISTANT CORPORATION COUNSEL,35.0,244820.0
COUNSEL TO THE SHERIFF,35.0,244820.0
COUNSEL TO THE BOROUGH PRESIDE,35.0,244820.0
EXAMINING ATTORNEY (OFFICE FOR,35.0,244820.0
COUNSEL (DEPARTMENT OF CONSUME,35.0,244820.0
COUNSEL TO THE BOARD OF EDUCAT,35.0,113500.0
COUNSEL (CITY PLANNING),35.0,244820.0
COUNSEL TO VICE CHAIRMAN,35.0,244820.0
COUNSEL (DEPARTMENT OF CORRECT,35.0,244820.0
COUNSEL,35.0,137387.0
COUNSEL TO THE CHANCELLOR,35.0,113500.0
FIRST ASSISTANT CORPORATION CO,35.0,244820.0
DIRECTOR OF LEGAL AFFAIRS,35.0,244820.0
COUNSEL (DEPT OF PROBATION),35.0,244820.0
COUNSEL (COMMISSION ON HUMAN R,35.0,244820.0
COUNSEL (CONFLICTS OF INTEREST,35.0,244820.0
SPECIAL ASSISTANT CORPORATION,35.0,244820.0
LEGAL ANALYST,35.0,137387.0
COUNSEL (FIRE DEPARTMENT),35.0,244820.0
COUNSEL TO THE BOARD OF ESTIMA,35.0,244820.0
CONSUMER ADVOCATE,35.0,244820.0
LEGISLATIVE ATTORNEY,35.0,100000.0
ASSISTANT DIRECTOR OF LEGAL SE,35.0,244820.0
ASSISTANT COUNSEL TO THE VICE,35.0,244820.0
COUNSEL TO MINORITY LEADER,35.0,244820.0
ASSISTANT SERGEANT AT ARMS,35.0,100000.0
DIRECTOR OF DEPARTMENT ADVOCAT,35.0,244820.0
LEGISLATIVE REPRESENTATIVE,35.0,113500.0
SERGEANT AT ARMS,35.0,113147.0
COUNCIL MEMBER,35.0,148500.0
MINORITY LEADER,35.0,108000.0
COUNSEL (BOARD OF STANDARDS AN,35.0,244820.0
DOCUMENT CLERK (CITY COUNCIL),35.0,244820.0
ADMINISTRATIVE LAW JUDGE,35.0,244820.0
LEGISLATIVE ASSISTANT,35.0,100000.0
LEGISLATIVE CLERK,35.0,100000.0
CORPORATION COUNSEL,35.0,244820.0
CHIEF ADMINISTRATIVE LAW JUDGE,35.0,244820.0
COUNSEL TO THE POLICE COMMISSI,35.0,244820.0
JUNIOR ASSISTANT DA,35.0,168000.0
DEPUTY CITY SHERIFF,40.0,85292.0
DEPUTY CITY SHERIFF,40.0,96535.0
SUPERVISING DEPUTY SHERIFF,35.0,115586.0
SUPERVISING DEPUTY SHERIFF,40.0,106949.0
MORTGAGE TAX EXAMINER,35.0,65773.0
CLAIM SPECIALIST,35.0,64307.0
CLAIM SPECIALIST,35.0,74827.0
CLAIM SPECIALIST,35.0,83325.0
TITLE EXAMINER,35.0,58233.0
SENIOR TITLE EXAMINER,35.0,59596.0
PRINCIPAL TITLE EXAMINER,35.0,79461.0
CHIEF INVESTIGATOR (RICHMOND C,35.0,244820.0
COUNTY DETECTIVE,35.0,64728.0
DETECTIVE INVESTIGATOR,35.0,78802.0
DETECTIVE INVESTIGATOR,40.0,78802.0
SENIOR DETECTIVE INVESTIGATOR,40.0,87787.0
ASSISTANT CHIEF DETECTIVE INVE,35.0,91032.0
ASSISTANT CHIEF DETECTIVE INVE,40.0,91032.0
RACKETS INVESTIGATOR,40.0,78802.0
SENIOR RACKETS INVESTIGATOR,40.0,87787.0
SUPERVISING RACKETS INVESTIGAT,40.0,90541.0
DEPUTY CHIEF RACKETS INVESTIGA,35.0,244820.0
ASSISTANT CHIEF RACKET INVESTI,35.0,113500.0
CHIEF RACKETS INVESTIGATOR,35.0,113500.0
CHIEF RACKETS INVESTIGATOR,35.0,244820.0
CHIEF RACKETS  INVESTIGATOR (Q,35.0,244820.0
SUPERVISING RACKETS INVESTIGAT,35.0,244820.0
ASSISTANT CHIEF INVESTIGATING,35.0,113500.0
CHIEF INVESTIGATING ACCOUNTANT,35.0,113500.0
SENIOR ACCOUNTANT INVESTIGATOR,35.0,79805.0
SUPERVISING ACCOUNTANT INVESTI,35.0,99411.0
PRINCIPAL ACCOUNTANT INVESTIGA,35.0,113500.0
INTERPRETER (HA),35.0,72572.0
INTERPRETER (SPANISH),35.0,72572.0
INTERPRETER (CHINESE),35.0,72572.0
INTERPRETER (HOURLY) (DOE),35.0,29.97
SIGN LANGUAGE INTERPRETER (DOE,35.0,61564.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,70374.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,79246.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,87992.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,96886.0
INTERPRETER/TRANSLATOR (DOE),35.0,66899.0
INTERPRETER/TRANSLATOR,35.0,69583.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,51713.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,59115.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,66567.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,73915.0
SIGN LANGUAGE INTERPRETER (DOE,35.0,81385.0
INVESTIGATOR TRAINEE (PYRL NOT,35.0,44330.0
INVESTIGATOR,35.0,64307.0
FRAUD INVESTIGATOR,35.0,68977.0
FRAUD INVESTIGATOR,35.0,78134.0
ASSOCIATE FRAUD INVESTIGATOR (,35.0,88577.0
ASSOCIATE FRAUD INVESTIGATOR (,35.0,92803.0
ASSOCIATE INVESTIGATOR (NOT PR,35.0,74109.0
ASSOCIATE INVESTIGATOR (NOT PR,35.0,82147.0
SPECIAL INVESTIGATOR (COMPUTER,35.0,97995.0
SPECIAL INVESTIGATOR,35.0,200000.0
CONFIDENTIAL INVESTIGATOR (OFF,35.0,88564.0
DIRECTOR OF CORRUPTION ANALYSI,35.0,244820.0
CONFIDENTIAL AGENCY INVESTIGAT,35.0,244820.0
CONFIDENTIAL INVESTIGATOR,35.0,62809.0
CONFIDENTIAL INVESTIGATOR,35.0,71010.0
CONFIDENTIAL INVESTIGATOR,35.0,88564.0
DEPUTY INSPECTOR GENERAL,35.0,244820.0
INSPECTOR GENERAL,35.0,244820.0
SPECIAL ASST FOR INVESTIGATION,35.0,244820.0
SUPERVISING INSPECTOR GENERAL,35.0,244820.0
CONFIDENTIAL INVESTIGATOR (BOE,35.0,79765.0
CONFIDENTIAL OPERATIONS SPECIA,35.0,89732.0
INVESTIGATOR (DISCIPLINE) (DOC,35.0,61847.0
INVESTIGATOR (DISCIPLINE) (DOC,35.0,69914.0
INVESTIGATOR (DISCIPLINE) (DOC,35.0,87206.0
INVESTIGATOR (CCRB),35.0,61847.0
INVESTIGATOR (CCRB),35.0,69914.0
INVESTIGATOR (CCRB),35.0,87206.0
SUPERVISOR OF INVESTIGATORS (C,35.0,94812.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,62809.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,71010.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,88564.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,62809.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,71010.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,88564.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,62809.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,71010.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,88564.0
INTELLIGENCE RESEARCH SPECIALI,35.0,95946.0
INTELLIGENCE RESEARCH SPECIALI,35.0,112879.0
INTELLIGENCE RESEARCH SPECIALI,35.0,129809.0
INVESTIGATOR (EMPLOYEE COMPLIA,35.0,62809.0
INVESTIGATOR (EMPLOYEE COMPLIA,35.0,71010.0
INVESTIGATOR (EMPLOYEE COMPLIA,35.0,88564.0
CRIME ANALYST,35.0,68835.0
CRIME ANALYST,35.0,81350.0
CRIME ANALYST,35.0,93866.0
INTELLIGENCE RESEARCH SPECIALI,35.0,141099.0
INTELLIGENCE RESEARCH SPECIALI,35.0,152386.0
INTELLIGENCE RESEARCH SPECIALI,35.0,163675.0
PUBLIC HEALTH SANITARIAN,35.0,51049.0
PUBLIC HEALTH SANITARIAN,35.0,78859.0
PUBLIC HEALTH SANITARIAN,40.0,51049.0
PUBLIC HEALTH SANITARIAN,40.0,78859.0
ASSOCIATE PUBLIC HEALTH SANITA,40.0,91199.0
ASSOCIATE PUBLIC HEALTH SANITA,40.0,98908.0
ASSOCIATE PUBLIC HEALTH SANITA,40.0,104924.0
INDUSTRIAL HYGIENIST,35.0,65071.0
INDUSTRIAL HYGIENIST,35.0,73124.0
SAFETY SPECIALIST,35.0,61755.0
LEAD ABATEMENT WORKER,40.0,52307.0
ASBESTOS HAZARD INVESTIGATOR,35.0,79267.0
ASBESTOS HANDLER,40.0,79750.0
ASBESTOS HANDLER SUPERVISOR,40.0,83740.0
AIR POLLUTION INSPECTOR,35.0,43014.0
AIR POLLUTION INSPECTOR,35.0,63711.0
Associate Air Pollution Inspr,35.0,71361.0
Associate Air Pollution Inspr,35.0,78944.0
Associate Air Pollution Inspr,35.0,86545.0
DIRECTOR OF SCHOOL SAFETY,35.0,113500.0
INSPECTOR (BOILERS),40.0,78244.0
INSPECTOR (BOILERS),40.0,87009.0
INSPECTOR (BOILERS),40.0,95679.0
INSPECTOR (CONSTRUCTION),40.0,52000.0
INSPECTOR (CONSTRUCTION),40.0,78244.0
INSPECTOR (CONSTRUCTION),40.0,87009.0
INSPECTOR (CONSTRUCTION),40.0,95679.0
INSPECTOR (ELECTRICAL FOR PAYR,35.0,67815.0
INSPECTOR (ELECTRICAL FOR PAYR,40.0,75963.0
INSPECTOR (ELEVATORS),40.0,78244.0
INSPECTOR (ELEVATORS),40.0,87009.0
INSPECTOR (ELEVATORS),40.0,95679.0
INSPECTOR (HEATING AND VENTILA,40.0,78244.0
HIGHWAYS AND SEWERS INSPECTOR,40.0,72684.0
INSPECTOR (HOISTS AND RIGGING),40.0,78244.0
INSPECTOR (HOISTS AND RIGGING),40.0,87009.0
INSPECTOR (HOISTS AND RIGGING),40.0,95679.0
INSPECTOR (PLASTERING),40.0,78244.0
INSPECTOR (PLUMBING),40.0,52000.0
INSPECTOR (PLUMBING),40.0,78244.0
INSPECTOR (PLUMBING),40.0,87009.0
INSPECTOR (PLUMBING),40.0,95679.0
INSPECTOR (STEEL CONSTRUCTION),40.0,78244.0
ASSOCIATE INSPECTOR (BOILERS),35.0,87009.0
ASSOCIATE INSPECTOR (BOILERS),35.0,95679.0
ASSOCIATE INSPECTOR (BOILERS),40.0,87009.0
ASSOCIATE INSPECTOR (BOILERS),40.0,95679.0
ASSOCIATE INSPECTOR (CONSTRUCT,40.0,87009.0
ASSOCIATE INSPECTOR (CONSTRUCT,40.0,95679.0
ASSOCIATE INSPECTOR (ELECTRICA,35.0,75414.0
ASSOCIATE INSPECTOR (ELECTRICA,35.0,82932.0
ASSOCIATE INSPECTOR (ELECTRICA,40.0,84475.0
ASSOCIATE INSPECTOR (ELECTRICA,40.0,92895.0
ASSOCIATE INSPECTOR (ELEVATORS,40.0,87009.0
ASSOCIATE INSPECTOR (ELEVATORS,40.0,95679.0
ASSOCIATE INSPECTOR (HIGHWAYS,40.0,80824.0
ASSOCIATE INSPECTOR (HIGHWAYS,40.0,88880.0
ASSOCIATE INSPECTOR (HOISTS /,40.0,87009.0
ASSOCIATE INSPECTOR (HOISTS /,40.0,95679.0
ASSOCIATE INSPECTOR (PLUMBING),40.0,87009.0
ASSOCIATE INSPECTOR (PLUMBING),40.0,95679.0
ASSOCIATE INSPECTOR (STEEL CON,40.0,87009.0
INSPECTOR (MULTI-DISCIPLINE),40.0,78244.0
INSPECTOR (MULTI-DISCIPLINE),40.0,87009.0
INSPECTOR (MULTI-DISCIPLINE),40.0,95678.0
FIRE PROTECTION INSPECTOR,37.5,65449.0
ASSOCIATE FIRE PROTECTION INSP,37.5,73309.0
ASSOCIATE FIRE PROTECTION INSP,37.5,81098.0
ASSOCIATE FIRE PROTECTION INSP,37.5,88904.0
INSPECTOR (HOUSING),40.0,78244.0
INSPECTOR (LOW PRESSURE BOILER,40.0,72236.0
ASSOCIATE INSPECTOR (HOUSING),40.0,87009.0
ASSOCIATE INSPECTOR (HOUSING),40.0,95679.0
ASSOCIATE INSPECTOR (LOW PRESS,40.0,81033.0
REHABILITATION SPECIALIST (HPD,40.0,78244.0
ASSOCIATE REHABILITATION SPECI,40.0,87009.0
INSPECTOR (HOUSING CONSTRUCTIO,40.0,78244.0
ASSOC INSPECTOR (HOUSING CONST,40.0,87009.0
ASSOC INSPECTOR (HOUSING CONST,40.0,95679.0
TRAFFIC CONTROL INSPECTOR,35.0,59465.0
TRAFFIC CONTROL INSPECTOR,35.0,65989.0
TRAFFIC CONTROL INSPECTOR,35.0,72448.0
BLASTING INSPECTOR,35.0,58327.0
SENIOR BLASTING INSPECTOR,35.0,64846.0
SUPERVISING BLASTING INSPECTOR,35.0,71300.0
DEMOLITION INSPECTOR,35.0,67914.0
SENIOR DEMOLITION INSPECTOR,35.0,75511.0
SUPERVISING DEMOLITION INSPECT,35.0,83039.0
PAINTING INSPECTOR,35.0,63711.0
SENIOR PAINTING INSPECTOR,35.0,71361.0
SENIOR HULL & MACHINERY INSPEC,35.0,71361.0
SUPERVISING HULL & MACHINERY I,35.0,77772.0
PIPE LAYING INSPECTOR,35.0,58327.0
SENIOR PIPE LAYING INSPECTOR,35.0,64846.0
SERVICE INSPECTOR (BOARD OF ED,35.0,34058.0
SENIOR SERVICE INSPECTOR (BD O,35.0,28629.0
SERVICE INSPECTOR (DOT),35.0,45823.0
SENIOR SERVICE INSPECTOR (DOT),35.0,50599.0
DIRECTOR BUREAU OF WEIGHTS AND,35.0,244820.0
TERMINAL MARKET MANAGER,35.0,113500.0
MARKET AGENT,35.0,57030.0
MARKET AGENT,35.0,79695.0
MARKET AGENT,35.0,88577.0
INSPECTOR (CONSUMER AFFAIRS),35.0,58176.0
INSPECTOR (CONSUMER AFFAIRS),35.0,65752.0
ASSOCIATE INSPECTOR (CONSUMERS,35.0,81976.0
ASSOCIATE INSPECTOR (CONSUMERS,35.0,90858.0
QUALITY ASSURANCE SPECIALIST T,35.0,38761.0
QUALITY ASSURANCE SPECIALIST,35.0,62178.0
QUALITY ASSURANCE SPECIALIST,35.0,69135.0
QUALITY ASSURANCE SPECIALIST (,35.0,60810.0
QUALITY ASSURANCE SPECIALIST (,35.0,67614.0
QUALITY ASSURANCE SPECIALIST (,35.0,60810.0
QUALITY ASSURANCE SPECIALIST (,35.0,67614.0
QUALITY ASSURANCE SPECIALIST (,35.0,60810.0
QUALITY ASSURANCE SPECIALIST (,35.0,67614.0
QUALITY ASSURANCE SPECIALIST (,35.0,81096.0
QUALITY ASSURANCE SPECIALIST (,35.0,60810.0
QUALITY ASSURANCE SPECIALIST (,35.0,67614.0
QUALITY ASSURANCE SPECIALIST (,35.0,60810.0
QUALITY ASSURANCE SPECIALIST (,35.0,67614.0
QUALITY ASSURANCE SPECIALIST,35.0,60810.0
QUALITY ASSURANCE SPECIALIST,35.0,67614.0
ASSOCIATE QUALITY ASSURANCE SP,35.0,82921.0
ASSOCIATE QUALITY ASSURANCE SP,35.0,81096.0
ASSOCIATE QUALITY ASSURANCE SP,35.0,81096.0
ASSOCIATE QUALITY ASSURANCE SP,35.0,81096.0
ASSOCIATE QUALITY ASSURANCE,35.0,81096.0
CONSTRUCTION PROJECT MANAGER I,35.0,60447.0
CONSTRUCTION PROJECT MANAGER,35.0,83151.0
CONSTRUCTION PROJECT MANAGER,35.0,95270.0
CONSTRUCTION PROJECT MANAGER,35.0,118610.0
SUPERVISOR OF ELECTRICAL INSTA,35.0,83151.0
SUPERVISOR OF ELECTRICAL INSTA,35.0,95270.0
SUPERVISOR OF MECHANICAL INSTA,35.0,83151.0
SUPERVISOR OF MECHANICAL INSTA,35.0,95270.0
SUPERVISOR OF MECHANICAL INSTA,35.0,99303.0
SUPERVISOR OF MECHANICAL INSTA,35.0,106222.0
SENIOR INSPECTOR FIRE ALARM BO,40.0,61321.0
WATER FRONT CONSTRUCTION INSPE,35.0,63711.0
WATER USE INSPECTOR,35.0,38990.0
WATER USE INSPECTOR,35.0,60489.0
ASSOCIATE WATER USE INSPECTOR,35.0,70213.0
ASSOCIATE WATER USE INSPECTOR,35.0,73039.0
ASSOCIATE WATER USE INSPECTOR,35.0,81498.0
ASSOC WATER USE INSPECTOR-MGRL,35.0,244820.0
APPRENTICE INSPECTOR (BOILERS),40.0,43404.0
APPRENTICE INSPECTOR (CONSTRUC,40.0,50489.0
APPRENTICE INSPECTOR (ELECTRIC,35.0,44173.0
APPRENTICE INSPECTOR (ELECTRIC,40.0,50485.0
APPRENTICE INSPECTOR (ELEVATOR,40.0,50489.0
APPRENTICE INSPECTOR (HIGHWAYS,40.0,46898.0
APPRENTICE INSPECTOR (HOUSING),40.0,50489.0
APPRENTICE (PAINTER),35.0,36.5
APPRENTICE INSPECTOR (HSG CONT,40.0,50489.0
TRANSPORTATION INSPECTOR,35.0,51788.0
TAXI AND LIMOUSINE INSPECTOR,35.0,56338.0
ASSOCIATE TAXI & LIMOUSINE INS,35.0,63871.0
ASSOCIATE TAXI & LIMOUSINE INS,35.0,72030.0
CONFIDENTIAL INSPECTOR,35.0,234738.0
GENERAL INSPECTOR,35.0,234738.0
DEPUTY DIRECTOR OF MANAGEMENT,35.0,244820.0
ASSOCIATE DIRECTOR (OMB),35.0,244820.0
DIRECTOR OF FINANCING POLICY C,35.0,244820.0
DIRECTOR OF MANAGEMENT & BUDGE,35.0,244820.0
ASSISTANT CITY ASSESSOR,35.0,49251.0
ASSISTANT CITY ASSESSOR,35.0,58233.0
"CITY ASSESSOR (I,II,IIIA,IIIB)",35.0,72733.0
"CITY ASSESSOR (I,II,IIIA,IIIB)",35.0,81822.0
"CITY ASSESSOR (I,II,IIIA,IIIB)",35.0,104564.0
"CITY ASSESSOR (I,II,IIIA,IIIB)",35.0,98488.0
"CITY ASSESSOR (I,II,IIIA,IIIB)",35.0,98488.0
INSURANCE ADVISOR,35.0,79901.0
INSURANCE ADVISOR (HEALTH),35.0,91645.0
INSURANCE ADVISOR (HA),35.0,54347.0
APPRAISER (PERSONAL PROPERTY),35.0,81695.0
APPRAISER (REAL ESTATE),35.0,79461.0
APPRAISER (REAL ESTATE),35.0,90785.0
APPRAISER (REAL ESTATE),35.0,97152.0
PRINCIPAL APPRAISER (REAL ESTA,35.0,244820.0
ASSISTANT WORKER'S COMPENSATIO,35.0,54213.0
WORKER'S COMPENSATION BENEFITS,35.0,66279.0
WORKER'S COMPENSATION BENEFITS,35.0,73772.0
WORKER'S COMPENSATION BENEFITS,35.0,46211.0
WORKER'S COMPENSATION BENEFITS,35.0,54213.0
ASSOCIATE WORKER'S COMPENSATIO,35.0,73772.0
ASSISTANT RETIREMENT BENEFITS,35.0,56257.0
ASSOCIATE RETIREMENT BENEFITS,35.0,66279.0
ASSOCIATE RETIREMENT BENEFITS,35.0,73772.0
ASSOCIATE RETIREMENT BENEFITS,35.0,84906.0
MANAGEMENT AUDITOR TRAINEE,35.0,50720.0
MANAGEMENT AUDITOR,35.0,87000.0
MANAGEMENT AUDITOR,35.0,95243.0
ASSISTANT ACCOUNTANT,35.0,56257.0
LEGISLATIVE FINANCIAL ANALYST,35.0,244820.0
LEGISLATIVE FINANCIAL ANALYST,35.0,100000.0
PRINCIPAL LEGISLATIVE FINANCIA,35.0,244820.0
ACCOUNTANT,35.0,66247.0
ACCOUNTANT,35.0,87000.0
CITY TAX AUDITOR,35.0,66247.0
CITY TAX AUDITOR,35.0,87000.0
CITY TAX AUDITOR,35.0,93961.0
CITY TAX AUDITOR,35.0,99332.0
BOOKKEEPER,35.0,49349.0
BOOKKEEPER,35.0,55863.0
BOOKKEEPER,35.0,66109.0
DEPUTY CONTROLLER (HA),35.0,196574.0
CONTROLLER (HA),35.0,137387.0
DIRECTOR OF AUDIT AND INVESTIG,35.0,113500.0
CHIEF SCHOOL BUSINESS EXECUTIV,35.0,113500.0
PRINCIPAL INVESTMENT OFFICER (,35.0,244820.0
DEPUTY CHANCELLOR FINANCIAL AF,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR OF F,35.0,244820.0
DIRECTOR OF MORTGAGE RESEARCH,35.0,244820.0
CONTRACT SPECIALIST,35.0,68377.0
CONTRACT SPECIALIST,35.0,76666.0
ASSOCIATE CONTRACT SPECIALIST,35.0,88062.0
CONTRACT REVIEWER (OFFICE OF L,35.0,72299.0
CONTRACT REVIEWER (OFFICE OF L,35.0,83047.0
STATISTICIAN,35.0,66247.0
STATISTICIAN,35.0,77589.0
STATISTICIAN,35.0,87000.0
ACTUARIAL SPECIALIST LEVEL I,35.0,109022.0
CHIEF ACTUARY,35.0,244820.0
"ACTUARIAL SPECIALIST LEVEL II,",35.0,132008.0
AUDITOR OF ACCOUNTS,35.0,70262.0
DEPUTY AUDITOR GENERAL-COUNSEL,35.0,244820.0
FIRST DEPUTY AUDITOR GENERAL (,35.0,244820.0
AUDITOR GENERAL (OFFICE OF THE,35.0,244820.0
EXAMINER OF ACCOUNTS,35.0,200000.0
DEPUTY AUDITOR GENERAL (DOE),35.0,244820.0
AUDITOR GENERAL (DOE),35.0,244820.0
ECONOMIST,35.0,66739.0
ECONOMIST,35.0,82390.0
ECONOMIST,35.0,90056.0
INVESTMENT ANALYST,35.0,65595.0
INVESTMENT ANALYST,35.0,82390.0
INVESTMENT ANALYST,35.0,97763.0
FIRST DEPUTY COMPTROLLER,35.0,244820.0
SECOND DEPUTY COMPTROLLER,35.0,244820.0
SPECIAL DEPUTY COMPTROLLER,35.0,244820.0
THIRD DEPUTY COMPTROLLER,35.0,244820.0
COMPTROLLER,35.0,209050.0
ASSISTANT COMPTROLLER OF IT,35.0,244820.0
PARKING CONTROL SPECIALIST TRA,40.0,39249.0
PARKING CONTROL SPECIALIST,40.0,52177.0
ASSOCIATE PARKING CONTROL SPEC,40.0,61493.0
ASSOCIATE PARKING CONTROL SPEC,40.0,72673.0
DENTAL ASSISTANT,35.0,46781.0
DENTAL HYGIENIST,35.0,53165.0
DENTAL HYGIENIST,35.0,73411.0
STRATEGIC INITIATIVE SPECIALIS,35.0,93845.0
STRATEGIC INITIATIVE SPECIALIS,35.0,244820.0
SENIOR POLICY ADVISOR (BUILDIN,35.0,244820.0
RISK MANAGEMENT OFFICER (BUILD,35.0,244820.0
CITY DENTIST,35.0,109588.0
CITY DENTIST,35.0,116181.0
CITY DENTIST (PART-TIME),35.0,71.06
CITY DENTIST (PART-TIME),35.0,79.11
CITY DEPUTY MANAGEMENT DENTIST,35.0,244820.0
CITY MANAGEMENT DENTIST,35.0,244820.0
DIETITIAN,35.0,53049.0
DIETITIAN,35.0,60312.0
DIETITIAN,35.0,66634.0
NUTRITIONIST,35.0,72874.0
NUTRITIONIST,35.0,85131.0
NUTRITIONIST,35.0,91322.0
NUTRITIONIST (PART-TIME),35.0,66000.0
NUTRITION CONSULTANT,35.0,75836.0
PRINCIPAL NUTRITION CONSULTANT,35.0,88101.0
*SENIOR PHARMACIST,37.5,81979.0
CITY VETERINARIAN,35.0,88076.0
CITY VETERINARIAN,35.0,96998.0
CITY VETERINARIAN (PART-TIME),35.0,60.08
